"Título de trazado: Manso Inferior"
"N.º","Fecha Tiempo, GMT-03:00","Velocidad del viento, m/s (LGR S/N: 20210973, SEN S/N: 20203022)","Velocidad de Ráfagas, m/s (LGR S/N: 20210973, SEN S/N: 20203022)","Dirección del viento, ø (LGR S/N: 20210973, SEN S/N: 20203073)","PAR, µmol/m²/s (LGR S/N: 20210973, SEN S/N: 20210411)","Temp, °C (LGR S/N: 20210973, SEN S/N: 20215229)","HR, % (LGR S/N: 20210973, SEN S/N: 20215229)","Contenido de agua, m³/m³ (LGR S/N: 20210973, SEN S/N: 20218250, LBL: 100 cm)","Presión, mbar (LGR S/N: 20210973, SEN S/N: 20218662)","Lluvia, mm (LGR S/N: 20210973, SEN S/N: 20219452)","Radiación solar, W/m² (LGR S/N: 20210973, SEN S/N: 20222394)","Contenido de agua, m³/m³ (LGR S/N: 20210973, SEN S/N: 20225097, LBL: 40 cm)","Contenido de agua, m³/m³ (LGR S/N: 20210973, SEN S/N: 20225099, LBL: 5 cm)","Contenido de agua, m³/m³ (LGR S/N: 20210973, SEN S/N: 20225103, LBL: 20 cm)"
195,02/02/25 10:10:00 PM,0.00,2.01,78.6,1.2,11.273,71.500,0.2124,955.150,0.00,0.6,0.1913,0.0845,0.0896
196,02/02/25 10:20:00 PM,0.00,1.51,73.0,1.2,11.005,70.600,0.2116,955.350,0.00,0.6,0.1906,0.0845,0.0904
197,02/02/25 10:30:00 PM,0.00,2.01,2.8,1.2,11.516,68.800,0.2116,955.550,0.00,0.6,0.1899,0.0845,0.0896
198,02/02/25 10:40:00 PM,0.00,1.51,283.6,1.2,11.613,67.000,0.2116,955.550,0.00,0.6,0.1906,0.0845,0.0896
199,02/02/25 10:50:00 PM,0.00,1.01,240.1,1.2,11.175,67.500,0.2116,955.650,0.00,0.6,0.1913,0.0845,0.0896
200,02/02/25 11:00:00 PM,0.00,1.01,238.7,1.2,11.370,68.200,0.2116,955.850,0.00,0.6,0.1899,0.0845,0.0896
201,02/02/25 11:10:00 PM,0.00,2.01,33.7,1.2,11.637,66.400,0.2116,955.850,0.00,0.6,0.1906,0.0845,0.0896
202,02/02/25 11:20:00 PM,0.50,2.01,256.9,1.2,11.759,64.000,0.2116,955.750,0.00,0.6,0.1899,0.0845,0.0896
203,02/02/25 11:30:00 PM,0.50,3.02,306.1,1.2,11.637,62.300,0.2116,955.850,0.00,0.6,0.1906,0.0845,0.0896
204,02/02/25 11:40:00 PM,0.50,3.02,241.5,1.2,11.734,62.800,0.2116,955.850,0.00,0.6,0.1899,0.0838,0.0896
205,02/02/25 11:50:00 PM,0.00,1.01,193.7,1.2,11.565,63.000,0.2116,955.850,0.00,0.6,0.1906,0.0838,0.0896
206,02/03/25 12:00:00 AM,0.50,2.52,311.7,1.2,11.734,61.800,0.2116,955.850,0.00,0.6,0.1899,0.0838,0.0896
207,02/03/25 12:10:00 AM,0.00,1.01,276.6,1.2,11.565,62.500,0.2116,955.950,0.00,0.6,0.1906,0.0838,0.0896
208,02/03/25 12:20:00 AM,0.50,2.52,299.0,1.2,11.734,61.500,0.2116,956.050,0.00,0.6,0.1906,0.0838,0.0896
209,02/03/25 12:30:00 AM,0.50,2.01,265.3,1.2,11.540,61.700,0.2116,956.050,0.00,0.6,0.1899,0.0838,0.0896
210,02/03/25 12:40:00 AM,0.00,1.51,230.2,1.2,11.175,62.700,0.2109,956.150,0.00,0.6,0.1906,0.0838,0.0896
211,02/03/25 12:50:00 AM,0.00,1.01,224.6,1.2,11.127,63.200,0.2116,956.250,0.00,0.6,0.1906,0.0838,0.0896
212,02/03/25 01:00:00 AM,0.00,1.01,224.6,1.2,10.883,63.400,0.2116,956.250,0.00,0.6,0.1899,0.0838,0.0896
213,02/03/25 01:10:00 AM,0.00,1.01,234.5,1.2,10.541,64.200,0.2124,956.150,0.00,0.6,0.1906,0.0838,0.0896
214,02/03/25 01:20:00 AM,0.00,1.01,244.3,1.2,10.320,65.000,0.2131,956.150,0.00,0.6,0.1906,0.0838,0.0904
215,02/03/25 01:30:00 AM,0.00,0.50,242.9,1.2,9.485,65.700,0.2131,956.250,0.00,0.6,0.1906,0.0838,0.0904
216,02/03/25 01:40:00 AM,0.00,1.01,242.9,1.2,8.817,68.400,0.2146,956.250,0.00,0.6,0.1913,0.0838,0.0904
217,02/03/25 01:50:00 AM,0.00,1.01,242.9,1.2,8.618,70.200,0.2269,956.150,0.00,0.6,0.1928,0.0838,0.0983
218,02/03/25 02:00:00 AM,0.00,1.51,206.4,1.2,8.095,71.100,0.2167,956.150,0.00,0.6,0.1928,0.0838,0.0911
219,02/03/25 02:10:00 AM,0.00,1.51,202.2,1.2,7.594,71.700,0.2175,956.050,0.00,0.6,0.1928,0.0838,0.0911
220,02/03/25 02:20:00 AM,0.00,1.01,202.2,1.2,7.494,72.900,0.2175,956.250,0.00,0.6,0.1928,0.0838,0.0911
221,02/03/25 02:30:00 AM,0.00,0.50,202.2,1.2,7.116,73.300,0.2182,956.350,0.00,0.6,0.1935,0.0831,0.0918
222,02/03/25 02:40:00 AM,0.00,1.01,202.2,1.2,7.217,74.000,0.2189,956.450,0.00,0.6,0.1935,0.0831,0.0918
223,02/03/25 02:50:00 AM,0.00,1.51,202.2,1.2,7.393,74.300,0.2167,956.350,0.00,0.6,0.1928,0.0831,0.0911
224,02/03/25 03:00:00 AM,0.00,1.01,202.2,1.2,7.217,74.600,0.2160,956.250,0.00,0.6,0.1920,0.0831,0.0911
225,02/03/25 03:10:00 AM,0.00,0.50,202.2,1.2,7.066,76.000,0.2167,956.250,0.00,0.6,0.1920,0.0831,0.0911
226,02/03/25 03:20:00 AM,0.00,1.01,202.2,1.2,6.051,76.100,0.2160,956.450,0.00,0.6,0.1920,0.0831,0.0911
227,02/03/25 03:30:00 AM,0.00,0.50,202.2,1.2,5.770,77.400,0.2153,956.350,0.00,0.6,0.1913,0.0831,0.0911
228,02/03/25 03:40:00 AM,0.00,1.51,154.4,1.2,5.257,78.500,0.2153,956.350,0.00,0.6,0.1913,0.0824,0.0911
229,02/03/25 03:50:00 AM,0.00,1.51,99.7,1.2,6.000,79.500,0.2160,956.450,0.00,0.6,0.1920,0.0824,0.0911
230,02/03/25 04:00:00 AM,0.00,1.51,106.7,1.2,4.921,79.400,0.2160,956.350,0.00,0.6,0.1913,0.0824,0.0911
231,02/03/25 04:10:00 AM,0.00,1.01,51.9,1.2,4.973,80.800,0.2182,956.350,0.00,0.6,0.1935,0.0824,0.0911
232,02/03/25 04:20:00 AM,0.00,1.01,51.9,1.2,4.532,81.400,0.2204,956.450,0.00,0.6,0.1935,0.0824,0.0925
233,02/03/25 04:30:00 AM,0.00,0.50,51.9,1.2,4.740,82.400,0.2204,956.450,0.00,0.6,0.1942,0.0824,0.0918
234,02/03/25 04:40:00 AM,0.00,0.50,51.9,1.2,3.564,82.700,0.2218,956.350,0.00,0.6,0.1949,0.0824,0.0925
235,02/03/25 04:50:00 AM,0.00,1.01,67.4,1.2,3.801,84.300,0.2254,956.250,0.00,0.6,0.1957,0.0824,0.0940
236,02/03/25 05:00:00 AM,0.00,0.50,77.2,1.2,3.617,85.200,0.2211,956.250,0.00,0.6,0.1942,0.0824,0.0925
237,02/03/25 05:10:00 AM,0.00,0.00,77.2,1.2,3.696,85.700,0.2204,956.350,0.00,0.6,0.1942,0.0824,0.0925
238,02/03/25 05:20:00 AM,0.00,0.50,77.2,1.2,3.670,85.900,0.2196,956.650,0.00,0.6,0.1935,0.0824,0.0925
239,02/03/25 05:30:00 AM,0.00,1.51,66.0,1.2,3.958,86.700,0.2204,956.250,0.00,0.6,0.1942,0.0824,0.0925
240,02/03/25 05:40:00 AM,0.00,0.00,30.9,1.2,4.350,87.100,0.2218,956.350,0.00,0.6,0.1942,0.0816,0.0925
241,02/03/25 05:50:00 AM,0.00,0.50,30.9,1.2,4.480,87.100,0.2204,956.350,0.00,0.6,0.1942,0.0824,0.0925
242,02/03/25 06:00:00 AM,0.00,0.50,30.9,1.2,4.558,87.300,0.2189,956.550,0.00,0.6,0.1928,0.0824,0.0925
243,02/03/25 06:10:00 AM,0.00,0.50,30.9,1.2,4.246,87.300,0.2189,956.550,0.00,0.6,0.1928,0.0816,0.0925
244,02/03/25 06:20:00 AM,0.00,1.01,30.9,1.2,3.643,87.600,0.2189,956.450,0.00,0.6,0.1942,0.0816,0.0918
245,02/03/25 06:30:00 AM,0.00,0.50,30.9,1.2,3.722,88.000,0.2189,956.250,0.00,0.6,0.1935,0.0816,0.0918
246,02/03/25 06:40:00 AM,0.00,0.50,30.9,1.2,2.930,88.200,0.2204,956.350,0.00,0.6,0.1942,0.0816,0.0925
247,02/03/25 06:50:00 AM,0.00,0.00,30.9,1.2,2.396,88.400,0.2204,956.450,0.00,1.9,0.1942,0.0816,0.0925
248,02/03/25 07:00:00 AM,0.00,0.00,30.9,8.7,2.450,88.700,0.2211,956.450,0.00,5.6,0.1942,0.0816,0.0925
249,02/03/25 07:10:00 AM,0.00,0.50,30.9,21.2,1.453,88.900,0.2204,956.650,0.00,8.1,0.1942,0.0816,0.0925
250,02/03/25 07:20:00 AM,0.00,0.50,30.9,36.2,1.425,89.400,0.2211,956.650,0.00,19.4,0.1942,0.0816,0.0925
251,02/03/25 07:30:00 AM,0.00,2.01,153.0,56.2,2.370,90.400,0.2204,956.850,0.00,30.6,0.1942,0.0816,0.0925
252,02/03/25 07:40:00 AM,0.00,1.51,99.7,68.7,2.155,90.500,0.2196,956.850,0.00,29.4,0.1935,0.0816,0.0918
253,02/03/25 07:50:00 AM,0.00,0.50,71.6,91.2,3.089,90.900,0.2196,956.850,0.00,49.4,0.1935,0.0816,0.0918
254,02/03/25 08:00:00 AM,0.00,0.00,71.6,201.2,4.610,90.900,0.2204,956.750,0.00,156.9,0.1935,0.0816,0.0925
255,02/03/25 08:10:00 AM,0.00,0.50,71.6,346.2,6.458,90.200,0.2204,956.850,0.00,219.4,0.1942,0.0809,0.0925
256,02/03/25 08:20:00 AM,0.00,1.51,68.8,351.2,7.970,88.900,0.2167,956.950,0.00,93.1,0.1928,0.0809,0.0911
257,02/03/25 08:30:00 AM,0.00,1.51,94.1,248.7,7.318,86.700,0.2167,957.150,0.00,136.9,0.1928,0.0809,0.0911
258,02/03/25 08:40:00 AM,0.00,1.01,98.3,271.2,8.020,84.600,0.2167,957.050,0.00,130.6,0.1935,0.0809,0.0911
259,02/03/25 08:50:00 AM,0.00,0.50,98.3,303.7,8.568,81.800,0.2167,957.250,0.00,169.4,0.1928,0.0809,0.0911
260,02/03/25 09:00:00 AM,0.00,1.01,98.3,371.2,9.435,79.200,0.2160,957.050,0.00,203.1,0.1928,0.0809,0.0911
261,02/03/25 09:10:00 AM,0.00,1.01,98.3,428.7,10.124,76.500,0.2153,956.850,0.00,239.4,0.1920,0.0809,0.0911
262,02/03/25 09:20:00 AM,0.00,1.01,82.8,471.2,10.810,73.600,0.2240,956.950,0.00,235.6,0.1964,0.0809,0.0933
263,02/03/25 09:30:00 AM,0.00,1.01,60.4,436.2,11.078,70.500,0.2233,956.950,0.00,213.1,0.1964,0.0809,0.0933
264,02/03/25 09:40:00 AM,0.00,0.50,60.4,461.2,11.516,67.500,0.2225,957.150,0.00,256.9,0.1957,0.0809,0.0933
265,02/03/25 09:50:00 AM,0.00,1.51,54.8,546.2,12.437,64.800,0.2211,956.950,0.00,295.6,0.1949,0.0809,0.0925
266,02/03/25 10:00:00 AM,0.50,3.02,290.6,633.7,12.727,58.000,0.2225,956.950,0.00,319.4,0.1957,0.0816,0.0933
267,02/03/25 10:10:00 AM,1.51,3.52,303.2,533.7,12.630,55.100,0.2204,956.850,0.00,265.6,0.1942,0.0816,0.0925
268,02/03/25 10:20:00 AM,1.51,3.52,290.6,531.2,12.678,55.100,0.2211,957.050,0.00,283.1,0.1949,0.0816,0.0933
269,02/03/25 10:30:00 AM,2.01,3.52,293.4,543.7,12.727,55.000,0.2218,956.950,0.00,288.1,0.1957,0.0816,0.0925
270,02/03/25 10:40:00 AM,2.01,4.03,282.2,601.2,12.871,53.400,0.2189,957.050,0.00,359.4,0.1942,0.0816,0.0918
271,02/03/25 10:50:00 AM,2.52,5.03,287.8,1058.7,13.546,52.600,0.2211,956.950,0.00,560.6,0.1949,0.0816,0.0925
272,02/03/25 11:00:00 AM,3.02,7.05,286.4,1306.2,14.122,49.800,0.2233,956.950,0.00,845.6,0.1978,0.0816,0.0933
273,02/03/25 11:10:00 AM,2.52,6.54,275.2,1291.2,14.505,47.900,0.2196,956.950,0.00,441.9,0.1949,0.0816,0.0918
274,02/03/25 11:20:00 AM,3.52,6.54,276.6,861.2,13.930,48.600,0.2189,956.950,0.00,345.6,0.1942,0.0824,0.0911
275,02/03/25 11:30:00 AM,3.02,5.54,280.8,1203.7,14.553,47.500,0.2175,956.850,0.00,369.4,0.1942,0.0824,0.0911
276,02/03/25 11:40:00 AM,2.52,5.03,275.2,983.7,14.745,47.400,0.2167,956.850,0.00,408.1,0.1942,0.0824,0.0911
277,02/03/25 11:50:00 AM,2.01,4.53,259.7,1703.7,15.629,46.000,0.2175,956.650,0.00,1071.9,0.1942,0.0824,0.0911
278,02/03/25 12:00:00 PM,2.52,6.04,282.2,1711.2,15.557,45.200,0.2204,956.450,0.00,1110.6,0.1957,0.0831,0.0925
279,02/03/25 12:10:00 PM,3.02,6.54,276.6,1811.2,15.652,44.500,0.2196,956.450,0.00,1059.4,0.1957,0.0831,0.0925
280,02/03/25 12:20:00 PM,3.02,7.05,265.3,2053.7,16.177,44.700,0.2182,956.350,0.00,1068.1,0.1949,0.0831,0.0918
281,02/03/25 12:30:00 PM,4.03,7.05,279.4,2096.2,16.463,44.700,0.2167,956.450,0.00,1061.9,0.1942,0.0838,0.0911
282,02/03/25 12:40:00 PM,4.03,7.55,279.4,2063.7,16.129,45.200,0.2167,956.450,0.00,1035.6,0.1942,0.0838,0.0911
283,02/03/25 12:50:00 PM,3.02,6.04,275.2,1968.7,16.820,44.900,0.2167,956.350,0.00,1000.6,0.1942,0.0845,0.0911
284,02/03/25 01:00:00 PM,3.02,6.54,272.4,1921.2,16.582,43.500,0.2175,956.350,0.00,1019.4,0.1942,0.0845,0.0911
285,02/03/25 01:10:00 PM,3.02,6.54,273.8,1981.2,16.844,43.500,0.2167,956.150,0.00,1161.9,0.1942,0.0853,0.0911
286,02/03/25 01:20:00 PM,2.52,6.04,269.6,2036.2,17.296,43.300,0.2175,956.150,0.00,1055.6,0.1942,0.0853,0.0911
287,02/03/25 01:30:00 PM,3.52,8.05,276.6,1406.2,16.725,43.100,0.2167,956.050,0.00,660.6,0.1942,0.0860,0.0911
288,02/03/25 01:40:00 PM,3.02,6.54,271.0,1743.7,17.296,42.400,0.2160,955.950,0.00,1153.1,0.1942,0.0860,0.0904
289,02/03/25 01:50:00 PM,3.02,6.54,278.0,1591.2,17.272,40.900,0.2167,955.950,0.00,488.1,0.1942,0.0867,0.0911
290,02/03/25 02:00:00 PM,3.52,7.05,268.1,761.2,16.010,40.400,0.2160,955.850,0.00,355.6,0.1935,0.0867,0.0904
291,02/03/25 02:10:00 PM,3.52,8.56,273.8,638.7,15.819,41.900,0.2153,956.050,0.00,291.9,0.1935,0.0867,0.0904
292,02/03/25 02:20:00 PM,4.53,8.05,282.2,648.7,15.819,42.900,0.2153,955.950,0.00,408.1,0.1928,0.0867,0.0904
293,02/03/25 02:30:00 PM,4.53,9.56,278.0,841.2,15.772,43.300,0.2153,955.950,0.00,334.4,0.1928,0.0874,0.0904
294,02/03/25 02:40:00 PM,4.03,9.56,280.8,918.7,16.106,44.100,0.2153,955.850,0.00,353.1,0.1928,0.0874,0.0904
